rank,start,decay_per_day,floor,mean_cohort_accuracy,mean_event_accuracy,delta_vs_50_50_pp,delta_vs_irl_only_pp,delta_vs_online_only_pp
89,0.8,0.01,0.45,84.59516435797528,84.87069638830472,0.48323940212199545,2.392035175624301,8.222911497701872
90,0.8,0.01,0.4,84.58820837889996,84.86591415269044,0.4762834230466808,2.385079196548986,8.215955518626558
91,1.0,0.05,0.4,84.58193139842669,84.80589989508209,0.47000644257340696,2.3788022160757123,8.209678538153284
92,0.8,0.01,0.35,84.57958754303156,84.85998732803091,0.4676625871782818,2.376458360680587,8.207334682758159
93,0.95,0.02,0.4,84.57907774450992,84.81042084062275,0.4671527886566338,2.375948562158939,8.20682488423651
94,0.8,0.01,0.3,84.57571088568105,84.85732212610243,0.4637859298277647,2.37258170333007,8.203458025407642
95,0.8,0.01,0.25,84.57571088568105,84.85732212610243,0.4637859298277647,2.37258170333007,8.203458025407642
96,0.8,0.01,0.2,84.57571088568105,84.85732212610243,0.4637859298277647,2.37258170333007,8.203458025407642
97,0.8,0.01,0.15,84.57571088568105,84.85732212610243,0.4637859298277647,2.37258170333007,8.203458025407642
98,0.8,0.01,0.1,84.57571088568105,84.85732212610243,0.4637859298277647,2.37258170333007,8.203458025407642
99,0.95,0.02,0.35,84.5704569086415,84.80449401596323,0.45853195278822056,2.367327726290526,8.198204048368098
100,0.8,0.03,0.5,84.56725515201249,84.88289598290542,0.4553301961592098,2.364125969661515,8.195002291739087
101,0.95,0.02,0.45,84.56409104534829,84.78503189366124,0.4521660894950088,2.360961862997314,8.191838185074886
102,0.85,0.04,0.5,84.56232839410838,84.88316648938576,0.4504034382550941,2.3591992117573994,8.190075533834971
103,0.95,0.02,0.3,84.56072283579064,84.79780184087825,0.4487978799373593,2.3575936534396646,8.188469975517236
104,0.9,0.05,0.5,84.55472585525276,84.87994126687173,0.4428008993994723,2.3515966729017777,8.18247299497935
105,0.95,0.02,0.25,84.55096047662337,84.79109021895076,0.43903552077009067,2.347831294272396,8.178707616349968
106,0.95,0.02,0.2,84.54111730317172,84.78432303720274,0.42919234731843403,2.3379881208207394,8.168864442898311
107,0.9,0.04,0.4,84.54031770401889,84.81378218510443,0.42839274816560646,2.337188521667912,8.168064843745483
108,0.9,0.04,0.2,84.54027814813576,84.85278228695175,0.42835319228247215,2.3371489657847775,8.16802528786235
109,0.9,0.04,0.15,84.53978028112313,84.86100850834858,0.4278553252698458,2.336651098772151,8.167527420849723
110,0.8,0.03,0.45,84.53911244050413,84.8550072220182,0.4271874846508439,2.3359832581531492,8.166859580230721
